"","species","model","edf","dev.expl","r.sq","AIC"
"gam_fox_null","fox","null",420.650474508875,0.279830578592696,0.26565860540991,4392.19077054352
"gam_fox_06","fox","full",240.206382691695,0.258121352920111,0.268973054480977,4150.14178937481
"gam_cat_null","cat","null",300.153394342664,0.236712209281107,0.222078494312692,3901.09900824201
"gam_cat_06","cat","full",214.758128067959,0.239065965803841,0.235979686822214,3732.67989771282
"gam_sbb_null","sbb","null",242.648395815335,0.363980143162559,0.265550615852711,2079.84134491905
"gam_sbb_06","sbb","full",185.367854634822,0.404594709177081,0.315561473927277,1868.55484258879
"gam_lnp_null","lnp","null",280.290278787859,0.501923627755668,0.449813634623927,1671.08531977573
"gam_lnp_12","lnp","full",256.446729851342,0.525876724555796,0.474096830189215,1577.71256064603
